source_id;country;site;insecticide_control;month_start;month_end;year_start;year_end;season_given;species;dissected_non_gravid;parous;parous_with_sac;sac_rate;sac_rate_percent;pubmed_id;citation;remark
9013;Cambodia;Pursat;;2;12;2012;2013;;Anopheles minimus s.l.;27;21;;0.48;48;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Mondolkiri;;2;12;2012;2013;;Anopheles philippinensis;31;19;;0.68;68;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Pailin;;2;12;2012;2013;;Anopheles philippinensis;4;2;;0.5;50;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Koh Kong;;2;12;2012;2013;;Anopheles sinensis;77;19;;0.16;16;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Koh Kong;;2;12;2012;2013;;Anopheles epiroticus;137;40;;0.33;33;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;name was falsely entered as sundaicus
9013;Cambodia;Mondolkiri;;2;12;2012;2013;;Anopheles tessellatus;5;1;;0;0;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Pailin;;2;12;2012;2013;;Anopheles tessellatus;10;9;;0.78;78;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Pursat;;2;12;2012;2013;;Anopheles tessellatus;8;2;;0;0;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Pailin;;2;12;2012;2013;;Anopheles vagus;12;5;;1;100;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Pursat;;2;12;2012;2013;;Anopheles vagus;25;23;;0.39;39;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9014;Cambodia;Mondolkiri;;2;12;2012;2013;;Anopheles minimus s.l.;1;1;;0;0;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9019;Haiti;Bellevue;f;10;9;1986;1987;;Anopheles albimanus;;1396;565;0.405;40.5;9846229;"Molez JF, Desenfant P, Jacques JR. Bio-ecology of Anopheles albimanus Wiedeman, 1820 (Diptera : Culicidae) in Haiti (Hispaniola). Bulletin de la Societe de Pathologie Exotique. 1998	91(4):334-9.";Tableau IV
9050;Philippines;;t;6;9;1961;1961;;Anopheles flavirostris;;316;199;0.628;62.8;4400546;Catangui FP. Studies on the gonotrophic cycle of Anopheles minimus flavirostris and the application of physiological age grading technique on the same species. Southeast Asian J Trop Med Public Health. 1971;Table 5 stages AB numbers do not add up to total
